custom_forest_type_code;forest_type_code;latin;german
N1060.1000000;60*G;"Calamagrostio variae-Piceetum; Gebüschvariante";Buntreitgras-Fi-Wald, Gebüschvariante
N1060.1000002;60*TaG;"Calamagrostio variae-Abieti-Piceetum; Gebüschvariante";Buntreitgras-Ta-Fi-Wald, Gebüschvariante
N1061.0000000;61G;;
N1062.0000000;62G;;
N1065.0000000;65G;;
N1065.1000000;65*G;;
N1066.0000000;66G;;
N1066.0001000;66PMG;;
N1067.0000000;67G;"Erico-Pinetum montanae; Gebüschvariante";Erika-Legföhrenwald
N1068.0000000;68G;;
N1068.1000000;68*G;;
N1069.0000000;69G;"Rhododendro hirsuti-Pinetum montanae; Gebüschvariante";Steinrosen-Legföhrenwald
N1070.0000000;70G;"Rhododendro ferruginei-Pinetum montanae; Gebüschvariante";Alpenrosen-Legföhrenwald
N1071.0000000;71G;"Sphagno-Pinetum montanae; Gebüschvariante";Torfmoos-Legföhrenwald
N1072.0000000;72G;"Sphagno-Pinetum cembrae; Gebüschvariante";Nordalpen-Arvenwald, Gebüschvariante
N1091.0000000;91G;;
N1092.0010000;92aG;;
N1092.0180000;92zG;;
N1093.0000000;93G;;
N2001.0000000;AV;Alnenion viridis;Grünerlengebüsch
N2002.0000000;Samb;;Gebüschreiche Vorwaldgesellschaft
N2003.0000000;Salci;;Moor-Weidengebüsch
N2004.0000000;Salwa;;Gebirgs-Weidengebüsch
N2005.0000000;Saro;;Besenginstergebüsch
N2006.0000000;Berb;;Trockenwarmes Gebüsch
N2007.0000000;Prun;;Mesophiles Gebüsch
N2008.0000000;Rubi;;Brombeergestrüpp
N2009.0000000;Rhod;;Alpenrosenheide
N2010.0000000;Junip;;Zwergwacholderheide
N3000.0000000;u;;Nicht-Wald
N3001.0000000;u-1;;Siedlung
N3002.0000000;u-2;;Acker
N3003.0000000;u-3;;Fettwiese
N3004.0000000;u-4;;Fettwiese/Bäume
N3005.0000000;u-5;;Weide
N3006.0000000;u-6;;Wytweide
N3007.0000000;u-7;;Hochstauden
N3008.0000000;u-8;;Magerwiese
N3009.0000000;u-9;;Feuchtgebiet
N3010.0000000;u-10;;Gewässer
N3011.0000000;u-11;;Fels/Schutt
N9999.0000000;nb;;
